Project Name,Package Name,Type Name,Method Name,LOC,CC,PC
Note_pad,com.mmomeni.notepad,ExampleInstrumentedTest,useAppContext,4,1,0
Note_pad,com.mmomeni.notepad,AboutActivity,onCreate,4,1,1
Note_pad,com.mmomeni.notepad,EditActivity,onCreate,18,1,1
Note_pad,com.mmomeni.notepad,EditActivity,setupSharedPreferences,4,1,0
Note_pad,com.mmomeni.notepad,EditActivity,onCreateOptionsMenu,4,1,1
Note_pad,com.mmomeni.notepad,EditActivity,onOptionsItemSelected,14,3,1
Note_pad,com.mmomeni.notepad,EditActivity,saveAndExit,7,1,0
Note_pad,com.mmomeni.notepad,EditActivity,onBackPressed,19,1,0
Note_pad,com.mmomeni.notepad,EditActivity,onClick,3,1,2
Note_pad,com.mmomeni.notepad,EditActivity,onClick,3,1,2
Note_pad,com.mmomeni.notepad,EditActivity,setTextVisible,8,2,1
Note_pad,com.mmomeni.notepad,EditActivity,changeTextColor,31,7,1
Note_pad,com.mmomeni.notepad,EditActivity,changeTextSize,4,1,1
Note_pad,com.mmomeni.notepad,EditActivity,loadColorFromPreference,4,1,1
Note_pad,com.mmomeni.notepad,EditActivity,loadSizeFromPreference,4,1,1
Note_pad,com.mmomeni.notepad,EditActivity,onSharedPreferenceChanged,11,4,2
Note_pad,com.mmomeni.notepad,MainActivity,onCreate,18,1,1
Note_pad,com.mmomeni.notepad,MainActivity,beforeTextChanged,2,1,4
Note_pad,com.mmomeni.notepad,MainActivity,onTextChanged,2,1,4
Note_pad,com.mmomeni.notepad,MainActivity,afterTextChanged,3,1,1
Note_pad,com.mmomeni.notepad,MainActivity,doFilter,14,4,1
Note_pad,com.mmomeni.notepad,MainActivity,clearSearch,2,1,0
Note_pad,com.mmomeni.notepad,MainActivity,updateTitleNoteCount,3,1,0
Note_pad,com.mmomeni.notepad,MainActivity,onCreateOptionsMenu,4,1,1
Note_pad,com.mmomeni.notepad,MainActivity,onOptionsItemSelected,14,3,1
Note_pad,com.mmomeni.notepad,MainActivity,onActivityResult,17,5,3
Note_pad,com.mmomeni.notepad,MainActivity,updateRecycler,7,1,1
Note_pad,com.mmomeni.notepad,MainActivity,onClick,25,2,1
Note_pad,com.mmomeni.notepad,MainActivity,onLongClick,19,2,1
Note_pad,com.mmomeni.notepad,MainActivity,onPause,4,1,0
Note_pad,com.mmomeni.notepad,MainActivity,onResume,4,1,0
Note_pad,com.mmomeni.notepad,MainActivity,saveFile,20,2,0
Note_pad,com.mmomeni.notepad,MainActivity,loadFile,22,2,0
Note_pad,com.mmomeni.notepad,MainActivity,convertStringToDate,13,2,1
Note_pad,com.mmomeni.notepad,MainActivity,convertDateToString,13,2,1
Note_pad,com.mmomeni.notepad,MyViewHolder,MyViewHolder,6,1,1
Note_pad,com.mmomeni.notepad,Note,Note,5,1,2
Note_pad,com.mmomeni.notepad,Note,getTitle,3,1,0
Note_pad,com.mmomeni.notepad,Note,getDesc,3,1,0
Note_pad,com.mmomeni.notepad,Note,getLastDate,3,1,0
Note_pad,com.mmomeni.notepad,Note,setLastDate,3,1,1
Note_pad,com.mmomeni.notepad,Note,toString,3,1,0
Note_pad,com.mmomeni.notepad,Note,compareTo,3,1,1
Note_pad,com.mmomeni.notepad,NoteAdapter,NoteAdapter,4,1,2
Note_pad,com.mmomeni.notepad,NoteAdapter,onCreateViewHolder,6,1,2
Note_pad,com.mmomeni.notepad,NoteAdapter,onBindViewHolder,11,2,2
Note_pad,com.mmomeni.notepad,NoteAdapter,getItemCount,3,1,0
Note_pad,com.mmomeni.notepad,SettingsActivity,onCreate,11,3,1
Note_pad,com.mmomeni.notepad,SettingsActivity,onOptionsItemSelected,7,2,1
Note_pad,com.mmomeni.notepad,SettingsActivity,onCreatePreferences,3,1,2
Note_pad,com.mmomeni.notepad,SettingsFragment,onCreatePreferences,3,1,2
Note_pad,com.mmomeni.notepad,SoundPlayer,SoundPlayer,11,1,0
Note_pad,com.mmomeni.notepad,SoundPlayer,getInstance,4,2,0
Note_pad,com.mmomeni.notepad,SoundPlayer,setupSound,7,2,4
Note_pad,com.mmomeni.notepad,SoundPlayer,start,12,4,1
Note_pad,com.mmomeni.notepad,SoundPlayer,stop,5,2,1
Note_pad,com.mmomeni.notepad,SoundPlayer,muteSound,11,3,2
Note_pad,com.mmomeni.notepad,EditActivityTest,testSetTextVisible,2,1,0
Note_pad,com.mmomeni.notepad,EditActivityTest,changeTextColor,2,1,0
Note_pad,com.mmomeni.notepad,EditActivityTest,changeTextSize,2,1,0
Note_pad,com.mmomeni.notepad,ToolbarTest,addition_isCorrect,3,1,0
